doc_id,filing_datetime,doc_type_name,filer_name,filer_name_en,ticker,fiscal_year_end,accounting_standard,net_sales,operating_income,net_income,assets,liabilities,equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,roe,equity_ratio
S100XQ32,2026-04-02 09:03:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2026-01-08,Japan GAAP,,12250211559,12250211559,,,,,,,,
S100XQ3E,2026-04-02 09:04:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2026-01-08,Japan GAAP,,257911999,257911999,,,,,,,,
S100XW7G,2026-04-02 09:09:00,Securities Report,ＪＰモルガン・アセット・マネジメント株式会社,JPMORGAN ASSET MANAGEMENT CO.,,2026-01-20,Japan GAAP,,6486134526,6486134526,,,,,,,,
S100T65I,2024-03-28 16:11:00,Securities Report,株式会社イーエムシステムズ,,4820.T,2023-12-31,Japan GAAP,20355000000.0,2330000000,1962000000,,,,1584000000.0,-2038000000.0,993000000.0,0.098,0.696
S100XT62,2026-04-03 09:00:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,1083619792,1083619792,,,,,,,,
S100XOZ0,2026-04-03 09:01:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2026-01-06,Japan GAAP,,3658665,3658665,,,,,,,,
S100XVRJ,2026-04-03 09:02:00,Securities Report,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,,380A.T,2026-01-10,Japan GAAP,,101230179,101230179,,,,,,,,
S100XT34,2026-04-03 09:05:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2026-01-05,Japan GAAP,,302539879,302539879,,,,,,,,
S100XT67,2026-04-03 09:06:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,120354966570,120354966570,,,,,,,,
S100XLBD,2026-04-03 09:09:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2026-01-05,Japan GAAP,,2699496217,2699496217,,,,,,,,
S100XT6C,2026-04-03 09:09:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,4529451368,4529451368,,,,,,,,
S100XLBJ,2026-04-03 09:11:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2026-01-05,Japan GAAP,,26405683003,26405683003,,,,,,,,
S100XLBO,2026-04-03 09:12:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2026-01-05,Japan GAAP,,59447239,59447239,,,,,,,,
S100XWIY,2026-04-03 09:12:00,Securities Report,ゴールドマン・サックス・アセット・マネジメント株式会社,Goldman Sachs Asset Management Co.,,2026-01-05,Japan GAAP,,269728177,269728177,,,,,,,,
S100XJ44,2026-04-03 09:12:00,Securities Report,ＳＢＩ岡三アセットマネジメント株式会社,SBI Okasan Asset Management Co.,,2026-01-06,Japan GAAP,,1706696502,1706696502,,,,,,,,
S100XONB,2026-04-03 09:14:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2026-01-05,Japan GAAP,,293836791,293836791,,,,,,,,
S100XOLH,2026-04-03 09:14:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2026-01-05,Japan GAAP,,500417800,500417800,,,,,,,,
S100XT6I,2026-04-03 09:15:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,-4831498760,-4831498760,,,,,,,,
S100XLBV,2026-04-03 09:16:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2026-01-05,Japan GAAP,,79089609,79089609,,,,,,,,
S100XT6T,2026-04-03 09:18:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,-758962025,-758962025,,,,,,,,
S100XONE,2026-04-03 09:18:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2026-01-05,Japan GAAP,,401281913,401281913,,,,,,,,
S100XRLD,2026-04-03 09:19:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2026-01-05,Japan GAAP,,3589414614,3589414614,,,,,,,,
S100XLC9,2026-04-03 09:19:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2026-01-05,Japan GAAP,,16069668,16069668,,,,,,,,
S100XT71,2026-04-03 09:22:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,-2909610636,-2909610636,,,,,,,,
S100XT77,2026-04-03 09:29:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,-4200760462,-4200760462,,,,,,,,
S100XT7B,2026-04-03 09:33:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,-87474333,-87474333,,,,,,,,
S100XT7G,2026-04-03 09:37:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,20102998857,20102998857,,,,,,,,
S100XT7I,2026-04-03 09:40:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,685559190,685559190,,,,,,,,
S100XT7O,2026-04-03 09:45:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,3271580523,3271580523,,,,,,,,
S100XT7S,2026-04-03 09:48:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,179790142,179790142,,,,,,,,
S100XT6P,2026-04-03 09:53:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-10,Japan GAAP,,1569097092,1569097092,,,,,,,,
S100XT8B,2026-04-06 09:03:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-13,Japan GAAP,,828029324,828029324,,,,,,,,
S100XOLL,2026-04-06 09:05:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2026-01-07,Japan GAAP,,427020233,427020233,,,,,,,,
S100XIX9,2026-04-06 09:09:00,Securities Report,ＳＢＩ岡三アセットマネジメント株式会社,SBI Okasan Asset Management Co.,,2026-01-07,Japan GAAP,,32233247899,32233247899,,,,,,,,
S100XOLP,2026-04-06 09:13:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2026-01-07,Japan GAAP,,30517511,30517511,,,,,,,,
S100XT8L,2026-04-06 09:18:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-13,Japan GAAP,,1439013441,1439013441,,,,,,,,
S100XT8P,2026-04-06 09:34:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-13,Japan GAAP,,156070166,156070166,,,,,,,,
S100XT8U,2026-04-06 09:52:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-13,Japan GAAP,,535107295,535107295,,,,,,,,
S100XT8Y,2026-04-06 09:59:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-13,Japan GAAP,,126071474,126071474,,,,,,,,
S100XT93,2026-04-06 10:06:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-13,Japan GAAP,,3666301060,3666301060,,,,,,,,
S100XONT,2026-04-06 10:08:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2026-01-07,Japan GAAP,,1515558207,1515558207,,,,,,,,
S100XT99,2026-04-06 10:13:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-13,Japan GAAP,,32137979,32137979,,,,,,,,
S100XT9H,2026-04-06 10:22:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-13,Japan GAAP,,24177010,24177010,,,,,,,,
S100XT9K,2026-04-06 10:31:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-13,Japan GAAP,,363157549,363157549,,,,,,,,
S100XORR,2026-04-07 09:06:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2026-01-07,Japan GAAP,,160820331893,160820331893,,,,,,,,
S100XPV6,2026-04-07 09:07:00,Securities Report,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,2026-01-07,Japan GAAP,,-12774642,-12774642,,,,,,,,
S100XSQ7,2026-04-07 09:09:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2026-01-07,Japan GAAP,,1079507947,1079507947,,,,,,,,
S100XVEU,2026-04-07 09:09:00,Securities Report,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,2026-01-07,Japan GAAP,,71851427655,71851427655,,,,,,,,
S100XMMT,2026-04-07 09:11:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2026-01-07,Japan GAAP,,7884981195,7884981195,,,,,,,,
S100XVEX,2026-04-07 09:13:00,Securities Report,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,2026-01-07,Japan GAAP,,1801507663,1801507663,,,,,,,,
S100XT3J,2026-04-07 09:15:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2026-01-07,Japan GAAP,,708299045,708299045,,,,,,,,
S100XTA4,2026-04-08 09:00:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-15,Japan GAAP,,11859352086,11859352086,,,,,,,,
S100XW2G,2026-04-08 09:01:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,1498.T,2026-01-08,Japan GAAP,,2115267188,2115267188,,,,,,,,
S100XTAA,2026-04-08 09:03:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2026-01-15,Japan GAAP,,1586683227,1586683227,,,,,,,,
S100XVR0,2026-04-08 09:03:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,1369.T,2026-01-08,Japan GAAP,,123289858277,123289858277,,,,,,,,
S100XOZ4,2026-04-08 09:03:00,Securities Report,朝日ライフ　アセットマネジメント株式会社,,,2026-01-09,Japan GAAP,,957413105,957413105,,,,,,,,
S100XW13,2026-04-08 09:05:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,1474.T,2026-01-08,Japan GAAP,,65472432279,65472432279,,,,,,,,
S100XW02,2026-04-08 09:05:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,2556.T,2026-01-08,Japan GAAP,,25982382168,25982382168,,,,,,,,
S100XW1B,2026-04-08 09:05:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,1473.T,2026-01-08,Japan GAAP,,152958815692,152958815692,,,,,,,,
S100XVSI,2026-04-08 09:06:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,1484.T,2026-01-08,Japan GAAP,,12888317700,12888317700,,,,,,,,
S100XVVY,2026-04-08 09:08:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,1493.T,2026-01-08,Japan GAAP,,120984957,120984957,,,,,,,,
S100XOZC,2026-04-08 09:09:00,Securities Report,朝日ライフ　アセットマネジメント株式会社,,,2026-01-09,Japan GAAP,,1021438420,1021438420,,,,,,,,
S100XLCV,2026-04-08 09:09:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,1345.T,2026-01-08,Japan GAAP,,28999619493,28999619493,,,,,,,,
S100XQ07,2026-04-08 09:11:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2026-01-09,Japan GAAP,,217667182,217667182,,,,,,,,
S100XLD2,2026-04-08 09:11:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,1698.T,2026-01-08,Japan GAAP,,12497568075,12497568075,,,,,,,,
S100XLD8,2026-04-08 09:13:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,1578.T,2026-01-08,Japan GAAP,,6594763754,6594763754,,,,,,,,
S100XLDI,2026-04-08 09:15:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,1586.T,2026-01-08,Japan GAAP,,1126220047,1126220047,,,,,,,,
S100XLDQ,2026-04-08 09:16:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,0000.T,2026-01-08,Japan GAAP,,105667176298,105667176298,,,,,,,,
S100XQ0A,2026-04-08 09:18:00,Securities Report,朝日ライフ　アセットマネジメント株式会社,,,2026-01-09,Japan GAAP,,-46710792,-46710792,,,,,,,,
S100XLDU,2026-04-08 09:18:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,1399.T,2026-01-08,Japan GAAP,,1572851445,1572851445,,,,,,,,
S100XLE0,2026-04-08 09:20:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,1481.T,2026-01-08,Japan GAAP,,805797914,805797914,,,,,,,,
S100XLEC,2026-04-08 09:22:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,1490.T,2026-01-08,Japan GAAP,,60285280,60285280,,,,,,,,
S100XLEY,2026-04-08 09:27:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,2562.T,2026-01-08,Japan GAAP,,2693157157,2693157157,,,,,,,,
S100XLFB,2026-04-08 09:31:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2026-01-08,Japan GAAP,,5279750450,5279750450,,,,,,,,
S100XLFJ,2026-04-08 09:34:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2026-01-08,Japan GAAP,,2697498821,2697498821,,,,,,,,
S100XQ2F,2026-04-08 09:35:00,Securities Report,朝日ライフ　アセットマネジメント株式会社,,,2026-01-09,Japan GAAP,,33975050,33975050,,,,,,,,
S100XLFO,2026-04-08 09:35:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,,2026-01-08,Japan GAAP,,3005320212,3005320212,,,,,,,,
S100XLGH,2026-04-08 09:41:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,2562.T,2026-01-08,Japan GAAP,,614453857,614453857,,,,,,,,
S100XRY6,2026-04-08 09:43:00,Securities Report,インベスコ・アセット・マネジメント株式会社,INVESCO ASSET MANAGEMENT CO.,,2026-01-13,Japan GAAP,,2387099629,2387099629,,,,,,,,
S100XLGR,2026-04-08 09:45:00,Securities Report,アモーヴァ・アセットマネジメント株式会社,,2562.T,2026-01-08,Japan GAAP,,790987725,790987725,,,,,,,,
